# zooid     P          Nclass  image
ASW0000jct  0.0007977  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190061fd.png
ASW0000jch  0.3417965  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190061f1.png
ASW0001abu  0.9752075  41       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ea8a.png
ASW0001aby  0.9943662  9       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ea8e.png
ASW0005hf8  0.0001361  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903e774.png
ASW00046q1  0.0000001  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021902fb09.png
ASW0005pnc  0.9958981  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219041118.png
ASW0002qyo  0.9986747  45       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f500.png
ASW0001hsu  0.9941071  11       http://spacewarps.org/subjects/standard/5183f151e4bb21021901105e.png
ASW0006oje  0.9974437  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021904c1ba.png
ASW0000jzl  0.0000002  51       http://spacewarps.org/subjects/standard/5183f151e4bb210219006531.png
ASW0000jjg  0.9754032  47       http://spacewarps.org/subjects/standard/5183f151e4bb2102190062ec.png
ASW0006pvd  0.0000001  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021904c879.png
ASW0008swn  0.9894848  8       http://spacewarps.org/subjects/standard/5183f151e4bb210219064457.png
ASW0007lwn  0.2448353  41       http://spacewarps.org/subjects/standard/5183f151e4bb210219056aa7.png
ASW0004q1x  0.9940271  16       http://spacewarps.org/subjects/standard/5183f151e4bb210219035ce5.png
ASW000075q  0.0002614  1       http://spacewarps.org/subjects/standard/5183f151e4bb21021900243e.png
ASW0006si1  0.0000138  26       http://spacewarps.org/subjects/standard/5183f151e4bb21021904d5c9.png
ASW00095rj  0.0000001  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021906856f.png
ASW0008yd7  0.0000001  4       http://spacewarps.org/subjects/standard/5183f151e4bb210219065ffb.png
ASW00022hg  0.9733038  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219017914.png
ASW0002u2b  0.0000001  33       http://spacewarps.org/subjects/standard/5183f151e4bb2102190204b3.png
ASW0002dj5  0.9916044  15       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b101.png
ASW0000rio  0.1137926  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219008b50.png
ASW0000ljz  0.0000001  40       http://spacewarps.org/subjects/standard/5183f151e4bb210219006d1f.png
ASW0001tps  0.9800645  41       http://spacewarps.org/subjects/standard/5183f151e4bb210219014cb0.png
ASW00057hp  0.0000001  21       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b52d.png
ASW0002emy  0.9644195  30       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b69a.png
ASW0002emv  0.9930991  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b697.png
ASW00045rr  0.9752209  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021902f637.png
ASW0005m2b  0.9897292  24       http://spacewarps.org/subjects/standard/5183f151e4bb21021903fef3.png
ASW0002lr1  0.0004079  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901da9d.png
ASW0005rrz  0.9627042  14       http://spacewarps.org/subjects/standard/5183f151e4bb210219041bdf.png
ASW0001839  0.0023297  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900df35.png
ASW0000um8  0.9805743  39       http://spacewarps.org/subjects/standard/5183f151e4bb210219009b00.png
ASW0005sww  0.9982429  10       http://spacewarps.org/subjects/standard/5183f151e4bb2102190421a0.png
ASW00062y3  0.9982688  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021904546b.png
ASW0008vtn  0.0000620  20       http://spacewarps.org/subjects/standard/5183f151e4bb21021906531b.png
ASW00009h3  0.9702103  31       http://spacewarps.org/subjects/standard/5183f151e4bb210219002ff7.png
