# zooid     P          Nclass  image
ASW0001abu  0.9752075  41       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ea8a.png
ASW0001aby  0.9943662  9       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ea8e.png
ASW0005pnc  0.9958981  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219041118.png
ASW0002qyo  0.9986747  45       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f500.png
ASW0001hsu  0.9941071  11       http://spacewarps.org/subjects/standard/5183f151e4bb21021901105e.png
ASW0006oje  0.9974437  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021904c1ba.png
ASW0000jjg  0.9754032  47       http://spacewarps.org/subjects/standard/5183f151e4bb2102190062ec.png
ASW0008swn  0.9894848  8       http://spacewarps.org/subjects/standard/5183f151e4bb210219064457.png
ASW0004q1x  0.9940271  16       http://spacewarps.org/subjects/standard/5183f151e4bb210219035ce5.png
ASW00022hg  0.9733038  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219017914.png
ASW0002dj5  0.9916044  15       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b101.png
ASW0001tps  0.9800645  41       http://spacewarps.org/subjects/standard/5183f151e4bb210219014cb0.png
ASW0002emy  0.9644195  30       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b69a.png
ASW0002emv  0.9930991  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b697.png
ASW00045rr  0.9752209  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021902f637.png
ASW0005m2b  0.9897292  24       http://spacewarps.org/subjects/standard/5183f151e4bb21021903fef3.png
ASW0005rrz  0.9627042  14       http://spacewarps.org/subjects/standard/5183f151e4bb210219041bdf.png
ASW0000um8  0.9805743  39       http://spacewarps.org/subjects/standard/5183f151e4bb210219009b00.png
ASW0005sww  0.9982429  10       http://spacewarps.org/subjects/standard/5183f151e4bb2102190421a0.png
ASW00062y3  0.9982688  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021904546b.png
ASW00009h3  0.9702103  31       http://spacewarps.org/subjects/standard/5183f151e4bb210219002ff7.png
ASW0004end  0.9771851  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219032329.png
ASW0001mlw  0.9885023  15       http://spacewarps.org/subjects/standard/5183f151e4bb2102190128b4.png
ASW0001dnu  0.9724822  9       http://spacewarps.org/subjects/standard/5183f151e4bb21021900fb6a.png
ASW00058ln  0.9983172  9       http://spacewarps.org/subjects/standard/5183f151e4bb21021903bacb.png
ASW00019hr  0.9969794  9       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e64f.png
ASW000564l  0.9683462  30       http://spacewarps.org/subjects/standard/5183f151e4bb21021903ae45.png
ASW0001hsg  0.9981789  46       http://spacewarps.org/subjects/standard/5183f151e4bb210219011050.png
ASW0001mbz  0.9680874  12       http://spacewarps.org/subjects/standard/5183f151e4bb21021901274f.png
ASW00008hh  0.9670128  37       http://spacewarps.org/subjects/standard/5183f151e4bb210219002af5.png
ASW00018vu  0.9717728  9       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e33a.png
ASW0009a8b  0.9915267  14       http://spacewarps.org/subjects/standard/5183f151e4bb210219069c0b.png
ASW0002r6d  0.9617929  17       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f615.png
ASW0006ejj  0.9731393  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219048f1f.png
ASW0004wuf  0.9991881  30       http://spacewarps.org/subjects/standard/5183f151e4bb210219037f47.png
ASW0005u3l  0.9938785  6       http://spacewarps.org/subjects/standard/5183f151e4bb2102190427a1.png
ASW0004ne0  0.9530076  9       http://spacewarps.org/subjects/standard/5183f151e4bb210219034f68.png
ASW00063kj  0.9788980  13       http://spacewarps.org/subjects/standard/5183f151e4bb210219045793.png
ASW00012kq  0.9711313  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c34a.png
ASW00052s9  0.9971435  15       http://spacewarps.org/subjects/standard/5183f151e4bb210219039d59.png
ASW0002754  0.9847435  14       http://spacewarps.org/subjects/standard/5183f151e4bb2102190190a8.png
ASW0009d7c  0.9873836  15       http://spacewarps.org/subjects/standard/5183f151e4bb21021906ab18.png
ASW00022ti  0.9912356  25       http://spacewarps.org/subjects/standard/5183f151e4bb210219017ac6.png
ASW00022tj  0.9913521  16       http://spacewarps.org/subjects/standard/5183f151e4bb210219017ac7.png
ASW0008r8n  0.9537904  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219063be7.png
ASW00023e3  0.9622513  31       http://spacewarps.org/subjects/standard/5183f151e4bb210219017dab.png
ASW00097tc  0.9644170  16       http://spacewarps.org/subjects/standard/5183f151e4bb210219068fd0.png
ASW0001r0q  0.9992778  45       http://spacewarps.org/subjects/standard/5183f151e4bb210219013f0a.png
ASW0001s10  0.9558911  34       http://spacewarps.org/subjects/standard/5183f151e4bb210219014424.png
ASW0006fv2  0.9985743  13       http://spacewarps.org/subjects/standard/5183f151e4bb2102190495ce.png
ASW0004cn3  0.9937127  21       http://spacewarps.org/subjects/standard/5183f151e4bb2102190318ff.png
ASW0004cn2  0.9972566  8       http://spacewarps.org/subjects/standard/5183f151e4bb2102190318fe.png
ASW00055xa  0.9891456  11       http://spacewarps.org/subjects/standard/5183f151e4bb21021903ad3e.png
ASW0008qe8  0.9989450  13       http://spacewarps.org/subjects/standard/5183f151e4bb2102190637a0.png
ASW0000f1h  0.9536387  42       http://spacewarps.org/subjects/standard/5183f151e4bb210219004c25.png
ASW0004d3d  0.9872799  14       http://spacewarps.org/subjects/standard/5183f151e4bb210219031b49.png
ASW0005n6v  0.9972069  4       http://spacewarps.org/subjects/standard/5183f151e4bb2102190404a7.png
ASW00025r0  0.9507088  22       http://spacewarps.org/subjects/standard/5183f151e4bb21021901899c.png
ASW0002i7l  0.9865697  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021901c8b1.png
ASW00068qq  0.9520676  16       http://spacewarps.org/subjects/standard/5183f151e4bb2102190471c2.png
ASW0000njn  0.9895404  20       http://spacewarps.org/subjects/standard/5183f151e4bb210219007733.png
ASW0002qp8  0.9857259  18       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f3ac.png
ASW000581b  0.9620308  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b7ef.png
ASW0001u9h  0.9859180  12       http://spacewarps.org/subjects/standard/5183f151e4bb210219014f75.png
ASW000879s  0.9932613  8       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d6d0.png
ASW00024pj  0.9986358  27       http://spacewarps.org/subjects/standard/5183f151e4bb210219018457.png
ASW0004qq8  0.9676146  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219036050.png
ASW0007soj  0.9921910  22       http://spacewarps.org/subjects/standard/5183f151e4bb210219058cf3.png
ASW00048l5  0.9726988  22       http://spacewarps.org/subjects/standard/5183f151e4bb210219030479.png
ASW00099fc  0.9897688  15       http://spacewarps.org/subjects/standard/5183f151e4bb2102190697f8.png
ASW0007su4  0.9920828  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219058dbc.png
ASW0003vfq  0.9697387  36       http://spacewarps.org/subjects/standard/5183f151e4bb21021902c1e6.png
ASW0001hgh  0.9977599  48       http://spacewarps.org/subjects/standard/5183f151e4bb210219010ea1.png
ASW00077je  0.9630531  3       http://spacewarps.org/subjects/standard/5183f151e4bb2102190521ea.png
ASW00077jj  0.9668206  12       http://spacewarps.org/subjects/standard/5183f151e4bb2102190521ef.png
ASW0000btm  0.9865619  42       http://spacewarps.org/subjects/standard/5183f151e4bb210219003bda.png
ASW0000sk9  0.9752922  40       http://spacewarps.org/subjects/standard/5183f151e4bb210219009099.png
ASW0005r7k  0.9516328  32       http://spacewarps.org/subjects/standard/5183f151e4bb210219041900.png
ASW0004evz  0.9881411  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021903245f.png
ASW0001o7s  0.9897239  10       http://spacewarps.org/subjects/standard/5183f151e4bb2102190130d8.png
ASW0004q57  0.9651999  24       http://spacewarps.org/subjects/standard/5183f151e4bb210219035d5b.png
ASW0006k9m  0.9879590  16       http://spacewarps.org/subjects/standard/5183f151e4bb21021904ac1a.png
ASW0001oci  0.9880044  31       http://spacewarps.org/subjects/standard/5183f151e4bb210219013182.png
ASW0001akj  0.9831170  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ebc3.png
ASW00099wr  0.9958514  11       http://spacewarps.org/subjects/standard/5183f151e4bb210219069a6b.png
ASW0008snk  0.9674173  14       http://spacewarps.org/subjects/standard/5183f151e4bb210219064310.png
ASW0006jdr  0.9856068  19       http://spacewarps.org/subjects/standard/5183f151e4bb21021904a79f.png
ASW000737p  0.9968255  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219050c05.png
ASW000135f  0.9822759  35       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c633.png
ASW0004oo1  0.9969299  8       http://spacewarps.org/subjects/standard/5183f151e4bb2102190355e1.png
ASW00054av  0.9719831  20       http://spacewarps.org/subjects/standard/5183f151e4bb21021903a507.png
ASW0006uhc  0.9917100  14       http://spacewarps.org/subjects/standard/5183f151e4bb21021904dfd0.png
ASW00003iz  0.9937963  48       http://spacewarps.org/subjects/standard/5183f151e4bb2102190011db.png
ASW000066w  0.9823131  9       http://spacewarps.org/subjects/standard/5183f151e4bb210219001f58.png
ASW0002lc9  0.9648556  22       http://spacewarps.org/subjects/standard/5183f151e4bb21021901d889.png
ASW00057pf  0.9933702  13       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b643.png
ASW0002z3o  0.9584701  11       http://spacewarps.org/subjects/standard/5183f151e4bb210219021e34.png
ASW0002a8r  0.9739114  14       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a05b.png
ASW00036ez  0.9808452  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021902433b.png
ASW0009d4c  0.9793580  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021906aaac.png
ASW0002ciz  0.9685346  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021901abeb.png
ASW00078fo  0.9744614  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219052674.png
ASW0003lw7  0.9520635  20       http://spacewarps.org/subjects/standard/5183f151e4bb210219029197.png
ASW00024de  0.9975841  31       http://spacewarps.org/subjects/standard/5183f151e4bb2102190182a2.png
ASW0000mnu  0.9778734  49       http://spacewarps.org/subjects/standard/5183f151e4bb2102190072ba.png
ASW0002ro1  0.9889915  20       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f891.png
ASW00008da  0.9864686  13       http://spacewarps.org/subjects/standard/5183f151e4bb210219002a5e.png
ASW00071xq  0.9758661  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021905058e.png
ASW0002emw  0.9850455  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b698.png
