# zooid     P          Nclass  image
ASW00062ic  0.9689388  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219045234.png
ASW0000csg  0.9624913  42       http://spacewarps.org/subjects/standard/5183f151e4bb2102190040c0.png
ASW0000csv  0.9720341  45       http://spacewarps.org/subjects/standard/5183f151e4bb2102190040cf.png
ASW0006zbl  0.9989719  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021904f851.png
ASW0007odc  0.9914438  15       http://spacewarps.org/subjects/standard/5183f151e4bb210219057720.png
ASW0000gc3  0.9659338  149       http://spacewarps.org/subjects/standard/5183f151e4bb2102190052b3.png
ASW000381p  0.9887700  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219024b7d.png
ASW0003hwy  0.9964268  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219027d72.png
ASW0003hx2  0.9947151  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219027d76.png
ASW0002pkt  0.9976292  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021901edfd.png
ASW00054c5  0.9771130  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021903a535.png
ASW00068m6  0.9989689  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021904711e.png
ASW0003osm  0.9583557  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021902a046.png
ASW0003gul  0.9622656  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021902780d.png
ASW0005r04  0.9993445  4       http://spacewarps.org/subjects/standard/5183f151e4bb2102190417f4.png
ASW000951l  0.9699505  3       http://spacewarps.org/subjects/standard/5183f151e4bb2102190681c9.png
ASW000951i  0.9792576  3       http://spacewarps.org/subjects/standard/5183f151e4bb2102190681c6.png
ASW00096dq  0.9888888  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021906888e.png
ASW0001j0w  0.9585582  4       http://spacewarps.org/subjects/standard/5183f151e4bb210219011690.png
ASW00057ho  0.9818610  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b52c.png
ASW00057hm  0.9991094  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b52a.png
ASW00010dx  0.9732798  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021900b835.png
ASW0000avp  0.9644423  27       http://spacewarps.org/subjects/standard/5183f151e4bb210219003715.png
