# zooid     P          Nclass  image
ASW0001cyr  0.1606057  36       http://spacewarps.org/subjects/standard/5183f151e4bb21021900f7e3.png
ASW0009cnp  0.0495382  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a855.png
ASW0001jqz  0.0000018  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219011a3b.png
ASW0003q83  0.0892475  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902a783.png
ASW0000z1f  0.6019566  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900b163.png
ASW0001ba4  0.0025663  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ef5c.png
ASW00001tq  0.0015902  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021900093e.png
ASW0004w6m  0.1380770  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219037bee.png
ASW0002cy7  0.8452876  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901ae0f.png
ASW0000yln  0.0042841  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021900af2b.png
ASW00058wd  0.0306808  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903bc4d.png
ASW0000hqb  0.0001783  49       http://spacewarps.org/subjects/standard/5183f151e4bb2102190059c3.png
ASW0001nef  0.0007154  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219012cb7.png
ASW0000crt  0.4436738  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190040a9.png
ASW0008pan  0.3181206  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021906320f.png
ASW0001yx2  0.0052067  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219016706.png
ASW0002akl  0.0000030  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a205.png
ASW0002nt8  0.5117111  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e50c.png
ASW000791m  0.0003400  29       http://spacewarps.org/subjects/standard/5183f151e4bb21021905298a.png
ASW0007tll  0.0002324  47       http://spacewarps.org/subjects/standard/5183f151e4bb210219059199.png
ASW0006e9q  0.1981333  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219048dbe.png
ASW0005x7s  0.2870883  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219043768.png
ASW0008yhq  0.0002125  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021906609e.png
ASW0002emv  0.1505389  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b697.png
ASW0008q79  0.0000175  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190636a5.png
ASW0001fya  0.0000004  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219010702.png
ASW0007fc6  0.0981497  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219054966.png
ASW0009an9  0.3650191  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219069e25.png
ASW0002sbz  0.2875489  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901fbef.png
ASW0002v9m  0.3879168  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219020aca.png
ASW0000f74  0.0001877  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219004cf0.png
ASW0007e57  0.9999997  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021905435b.png
ASW0008pag  0.8103528  43       http://spacewarps.org/subjects/standard/5183f151e4bb210219063208.png
ASW0000by7  0.0014707  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219003c7f.png
ASW0003ny1  0.0000042  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219029bf9.png
ASW00042r0  0.0000172  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902e6ec.png
ASW00024q6  0.5866604  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901846e.png
ASW0000es1  0.0000111  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219004ad1.png
ASW0006wdu  0.2939139  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904e972.png
ASW0007t5y  1.0000000  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219058f66.png
ASW0002aiu  0.0018699  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a1c6.png
ASW000191u  0.1210931  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e412.png
ASW0008nld  0.1988104  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219062971.png
ASW00086s8  0.1252190  46       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d458.png
ASW0005nbv  0.0046257  38       http://spacewarps.org/subjects/standard/5183f151e4bb21021904055b.png
ASW00057fl  0.5810488  40       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b4e1.png
ASW00035pu  0.0231599  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219023fb2.png
ASW0001q5a  0.0151290  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219013a9e.png
ASW00012tc  0.0120691  44       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c480.png
ASW0001scq  0.1515276  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190145ca.png
ASW0002n1e  0.0000021  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e122.png
ASW0002res  0.0000736  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f744.png
ASW0009bkm  0.0016302  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a2d6.png
