# zooid     P          Nclass  image
ASW0001cyr  0.0876340  36       http://spacewarps.org/subjects/standard/5183f151e4bb21021900f7e3.png
ASW0003imc  0.3817891  30       http://spacewarps.org/subjects/standard/5183f151e4bb210219028104.png
ASW0005ktw  0.7972420  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903f8b4.png
ASW0001jqz  0.0420747  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219011a3b.png
ASW0000jrr  0.2250123  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219006417.png
ASW0000z1f  0.4878424  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900b163.png
ASW0008jid  0.4273720  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190614c5.png
ASW00001tq  0.0773186  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021900093e.png
ASW0004h4a  0.2645404  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219032faa.png
ASW0004w6m  0.1848210  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219037bee.png
ASW0000yln  0.1013551  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021900af2b.png
ASW00058wd  0.0110071  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903bc4d.png
ASW00082qh  0.1048869  61       http://spacewarps.org/subjects/standard/5183f151e4bb21021905bfd9.png
ASW0004007  0.1145313  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902d907.png
ASW0000crt  0.2900338  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190040a9.png
ASW0008pan  0.3579633  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021906320f.png
ASW0002akl  0.0487557  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a205.png
ASW0002nt8  0.3263074  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e50c.png
ASW0004gbw  0.4495907  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219032bac.png
ASW000791m  0.1030388  29       http://spacewarps.org/subjects/standard/5183f151e4bb21021905298a.png
ASW0006e9q  0.1786489  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219048dbe.png
ASW0002t78  0.2866421  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219020054.png
ASW0005x7s  0.2369545  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219043768.png
ASW0008yhq  0.0000006  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021906609e.png
ASW000251t  0.1523427  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219018611.png
ASW0003q83  0.1762191  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902a783.png
ASW0001fya  0.0162082  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219010702.png
ASW0000l5g  0.0000001  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219006b14.png
ASW0009an9  0.3111928  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219069e25.png
ASW00027kn  0.0052017  42       http://spacewarps.org/subjects/standard/5183f151e4bb2102190192d7.png
ASW0000f74  0.0451801  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219004cf0.png
ASW0007e57  0.9711347  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021905435b.png
ASW0008pag  0.6195313  43       http://spacewarps.org/subjects/standard/5183f151e4bb210219063208.png
ASW0000by7  0.0611342  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219003c7f.png
ASW0003ny1  0.1099142  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219029bf9.png
ASW00024q6  0.3583983  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901846e.png
ASW0000es1  0.0399064  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219004ad1.png
ASW0006wdu  0.3520678  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904e972.png
ASW0007t5y  1.0000000  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219058f66.png
ASW0002aiu  0.0483817  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a1c6.png
ASW00018ad  0.1080445  45       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e035.png
ASW000191u  0.1530464  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e412.png
ASW0008nld  0.1451338  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219062971.png
ASW00086s8  0.1530077  46       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d458.png
ASW00040w2  0.1793716  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902dd82.png
ASW00057fl  0.3780723  40       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b4e1.png
ASW00035pu  0.0962305  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219023fb2.png
ASW0001q5a  0.1027036  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219013a9e.png
ASW00012tc  0.0669780  44       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c480.png
ASW0001scq  0.2191799  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190145ca.png
ASW0002res  0.1021011  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f744.png
ASW0009bkm  0.2035112  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a2d6.png
ASW0000t2l  0.0613668  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900932d.png
ASW0009bkk  0.0126795  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a2d4.png
ASW00079uc  0.0006601  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219052d94.png
ASW0001p1o  0.3177827  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901350c.png
ASW0007q0k  0.1057543  35       http://spacewarps.org/subjects/standard/5183f151e4bb210219057f74.png
ASW00069pk  0.3621150  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190476a8.png
ASW00023vf  0.4699658  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901801b.png
ASW00086sa  0.2496691  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d45a.png
ASW00015mc  0.4294019  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900d2b4.png
ASW0001mze  0.7647171  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219012a9a.png
ASW0004nhm  0.2237054  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219034fea.png
ASW000545g  0.0251443  42       http://spacewarps.org/subjects/standard/5183f151e4bb21021903a444.png
ASW0000boq  0.0001866  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219003b2a.png
ASW0006d0v  0.7258682  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904876f.png
ASW0000yd5  0.1607703  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900adf9.png
ASW0002n82  0.0485194  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e212.png
ASW00064a7  0.0000309  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219045b2f.png
ASW0000ucl  0.1175389  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190099a5.png
ASW0007g03  0.0000001  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219054cc3.png
ASW00055uo  0.1633008  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903ace0.png
ASW0004pmp  0.3806499  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219035ac1.png
ASW0006bve  0.1974108  48       http://spacewarps.org/subjects/standard/5183f151e4bb21021904819a.png
ASW0005897  0.0237984  28       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b90b.png
ASW0003k4w  0.1941440  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190288b0.png
ASW0000vpf  0.2033487  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a083.png
ASW0006frk  0.1590394  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219049550.png
ASW0006wpc  0.4030802  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904eb10.png
ASW0005j42  0.0240479  37       http://spacewarps.org/subjects/standard/5183f151e4bb21021903f002.png
ASW0005j44  0.1744029  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021903f004.png
ASW0004lls  0.3061963  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219034660.png
ASW0009cdj  0.1351301  48       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a6e7.png
ASW0002f2h  0.1495309  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b8c9.png
ASW0006yrw  0.2486574  37       http://spacewarps.org/subjects/standard/5183f151e4bb21021904f58c.png
ASW0000wen  0.0000067  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a40f.png
ASW0008xbu  0.7721072  39       http://spacewarps.org/subjects/standard/5183f151e4bb210219065aba.png
ASW0004oit  0.3106221  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219035525.png
ASW0007xb9  0.0583914  33       http://spacewarps.org/subjects/standard/5183f151e4bb21021905a465.png
ASW0004gzs  0.0674951  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219032f08.png
ASW0002dx7  0.7623825  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b2fb.png
ASW0005iac  0.1876270  44       http://spacewarps.org/subjects/standard/5183f151e4bb21021903ebd4.png
ASW0005zw9  0.4452654  25       http://spacewarps.org/subjects/standard/5183f151e4bb2102190444f9.png
ASW0002bii  0.0381464  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a6ca.png
ASW0004gnp  0.0290448  43       http://spacewarps.org/subjects/standard/5183f151e4bb210219032d55.png
ASW0005ph2  0.9950128  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219041036.png
ASW0001ago  0.0005565  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900eb38.png
ASW0003un8  0.0603565  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902bde4.png
ASW00038z2  0.0601365  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902502e.png
ASW0004jti  0.0005082  46       http://spacewarps.org/subjects/standard/5183f151e4bb210219033d56.png
ASW0004w08  0.2732562  46       http://spacewarps.org/subjects/standard/5183f151e4bb210219037b08.png
ASW0000we9  0.5635834  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a401.png
ASW0002ffr  0.1828695  46       http://spacewarps.org/subjects/standard/5183f151e4bb21021901baa7.png
ASW0003jzr  0.3767952  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190287f7.png
ASW0007lwg  0.1392095  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219056aa0.png
ASW0009b2f  0.1731315  37       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a047.png
ASW0009b2e  0.2393590  30       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a046.png
ASW00091eh  0.4502010  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219066f59.png
ASW0007pnf  0.1537506  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219057d9b.png
ASW0008pzv  0.3812776  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021906359b.png
ASW00033sc  0.0976225  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190235ec.png
ASW0009bo6  0.2300029  31       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a356.png
ASW0002dos  0.2082107  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b1cc.png
ASW0007yg0  0.1313784  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021905aa20.png
ASW0009c2m  0.0019363  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a55e.png
ASW00057kc  0.4810204  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b58c.png
ASW0006ir2  0.1242832  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904a46e.png
ASW0009bo3  0.0907617  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a353.png
ASW0005n4k  0.0473879  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219040454.png
ASW0002jv7  0.2436188  41       http://spacewarps.org/subjects/standard/5183f151e4bb21021901d113.png
ASW0004vom  0.3532702  39       http://spacewarps.org/subjects/standard/5183f151e4bb210219037966.png
ASW0009cuw  0.0238777  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a958.png
ASW0004fpd  0.0499171  41       http://spacewarps.org/subjects/standard/5183f151e4bb210219032881.png
ASW0003qud  0.0863619  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021902aaa5.png
ASW0005fyb  0.1189295  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903e003.png
ASW0003wkd  0.1316746  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902c79d.png
ASW0000v1g  0.0003937  44       http://spacewarps.org/subjects/standard/5183f151e4bb210219009d24.png
ASW0004gtk  0.0000284  42       http://spacewarps.org/subjects/standard/5183f151e4bb210219032e28.png
ASW0002bmc  0.8909440  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a754.png
ASW00039io  0.1623700  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190252f0.png
ASW0002xz3  0.0216332  40       http://spacewarps.org/subjects/standard/5183f151e4bb21021902187f.png
ASW00011xk  0.0001132  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c008.png
ASW00009i3  0.2926223  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900301b.png
ASW00050sk  0.8446343  48       http://spacewarps.org/subjects/standard/5183f151e4bb210219039344.png
ASW0001rpk  0.1322363  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219014288.png
ASW00092ed  0.0940847  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219067465.png
ASW000670r  0.0042523  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904690b.png
ASW0008gbh  0.1002008  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021906049d.png
ASW0002f0v  0.1131390  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b88f.png
