# zooid     P          Nclass  image
ASW0009df4  0.0148751  217       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c2f5.png
ASW0009dfc  0.1339490  224       http://spacewarps.org/subjects/standard/5183f151e4bb210219013101.png
ASW0009dfd  0.0058245  228       http://spacewarps.org/subjects/standard/5183f151e4bb210219012cb7.png
ASW0009dju  0.3877414  216       http://spacewarps.org/subjects/standard/5183f151e4bb21021900705c.png
ASW0009djt  0.0000297  198       http://spacewarps.org/subjects/standard/5183f151e4bb21021900739e.png
ASW0009dk4  0.0051287  148       http://spacewarps.org/subjects/standard/5183f151e4bb210219011b99.png
ASW0009dfh  0.0000001  208       http://spacewarps.org/subjects/standard/5183f151e4bb2102190121b7.png
ASW0009dfj  0.0000101  158       http://spacewarps.org/subjects/standard/5183f151e4bb2102190123aa.png
ASW0009dfk  0.0317392  166       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e035.png
ASW0009dfm  0.0772482  225       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e412.png
ASW0009dhh  0.0056221  237       http://spacewarps.org/subjects/standard/5183f151e4bb2102190035d5.png
ASW0009dhj  0.2594793  133       http://spacewarps.org/subjects/standard/5183f151e4bb210219000de4.png
ASW0009dhn  0.1948279  159       http://spacewarps.org/subjects/standard/5183f151e4bb210219000dbf.png
ASW0009dg2  0.0000666  217       http://spacewarps.org/subjects/standard/5183f151e4bb21021900d264.png
ASW0009dfy  0.0042443  213       http://spacewarps.org/subjects/standard/5183f151e4bb210219010690.png
ASW0000fgj  0.0000112  988       http://spacewarps.org/subjects/standard/5183f151e4bb210219004e43.png
ASW0009dgv  0.0027482  158       http://spacewarps.org/subjects/standard/5183f151e4bb2102190235ec.png
ASW0009diq  0.0000002  220       http://spacewarps.org/subjects/standard/5183f151e4bb210219008b91.png
ASW0009dit  0.0874350  222       http://spacewarps.org/subjects/standard/5183f151e4bb210219008efd.png
ASW0009dio  0.0514883  147       http://spacewarps.org/subjects/standard/5183f151e4bb210219008fea.png
ASW0009dip  0.0039152  224       http://spacewarps.org/subjects/standard/5183f151e4bb210219008ba7.png
ASW0009dir  0.0001371  208       http://spacewarps.org/subjects/standard/5183f151e4bb21021900900f.png
ASW0009diw  0.0000002  143       http://spacewarps.org/subjects/standard/5183f151e4bb210219000629.png
ASW0009dft  0.0677367  135       http://spacewarps.org/subjects/standard/5183f151e4bb2102190106da.png
ASW0009dfv  0.0000028  140       http://spacewarps.org/subjects/standard/5183f151e4bb210219010975.png
ASW0009dfu  0.1417711  161       http://spacewarps.org/subjects/standard/5183f151e4bb2102190106dd.png
ASW0009dfq  0.3231442  232       http://spacewarps.org/subjects/standard/5183f151e4bb210219010983.png
ASW0009dfp  0.0570335  227       http://spacewarps.org/subjects/standard/5183f151e4bb210219010714.png
ASW0009div  0.0236513  215       http://spacewarps.org/subjects/standard/5183f151e4bb210219008f04.png
ASW0009deu  0.0457749  243       http://spacewarps.org/subjects/standard/5183f151e4bb21021900fc46.png
ASW0009dev  0.0002739  235       http://spacewarps.org/subjects/standard/5183f151e4bb21021900fb95.png
ASW0009df0  0.0000004  229       http://spacewarps.org/subjects/standard/5183f151e4bb2102190140bf.png
ASW0009dg5  0.0886584  236       http://spacewarps.org/subjects/standard/5183f151e4bb21021900daba.png
ASW0009di5  0.0333755  155       http://spacewarps.org/subjects/standard/5183f151e4bb210219004de8.png
ASW0009df1  0.0345442  160       http://spacewarps.org/subjects/standard/5183f151e4bb210219014e84.png
ASW0009dgp  0.0693965  182       http://spacewarps.org/subjects/standard/5183f151e4bb21021901dbd1.png
ASW0009dgo  0.0300202  248       http://spacewarps.org/subjects/standard/5183f151e4bb2102190183a5.png
ASW0009dgn  0.0820985  244       http://spacewarps.org/subjects/standard/5183f151e4bb21021901833b.png
ASW0009di4  0.0000336  243       http://spacewarps.org/subjects/standard/5183f151e4bb2102190046dd.png
ASW0009di0  0.0004880  226       http://spacewarps.org/subjects/standard/5183f151e4bb210219006bb3.png
ASW0009dk3  0.0175089  162       http://spacewarps.org/subjects/standard/5183f151e4bb210219001c6f.png
ASW0009dia  0.0005852  150       http://spacewarps.org/subjects/standard/5183f151e4bb21021900447e.png
ASW0009dii  0.0000004  221       http://spacewarps.org/subjects/standard/5183f151e4bb210219001eff.png
ASW0009dik  0.0670123  223       http://spacewarps.org/subjects/standard/5183f151e4bb210219001da1.png
ASW0009dih  0.0000008  236       http://spacewarps.org/subjects/standard/5183f151e4bb210219005216.png
ASW0009dig  0.0727952  167       http://spacewarps.org/subjects/standard/5183f151e4bb210219005951.png
ASW0009dh2  0.0021958  157       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a002.png
ASW0009dh1  0.0880502  161       http://spacewarps.org/subjects/standard/5183f151e4bb210219030100.png
ASW0009dgy  0.0797576  148       http://spacewarps.org/subjects/standard/5183f151e4bb210219027a3c.png
ASW0009dhe  0.0007152  219       http://spacewarps.org/subjects/standard/5183f151e4bb21021900359e.png
ASW0009dhd  0.1865667  210       http://spacewarps.org/subjects/standard/5183f151e4bb21021900785e.png
ASW0009dep  0.0000167  180       http://spacewarps.org/subjects/standard/5183f151e4bb210219013be6.png
ASW0009djo  0.0082347  157       http://spacewarps.org/subjects/standard/5183f151e4bb210219002da6.png
ASW0009djn  0.0000952  120       http://spacewarps.org/subjects/standard/5183f151e4bb210219002a5e.png
ASW0009djm  0.0000019  160       http://spacewarps.org/subjects/standard/5183f151e4bb210219002d83.png
ASW0009djq  0.0000004  216       http://spacewarps.org/subjects/standard/5183f151e4bb210219002e27.png
ASW0009djp  0.2368079  220       http://spacewarps.org/subjects/standard/5183f151e4bb210219002f23.png
ASW0009dgf  0.0666725  250       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f418.png
ASW0009dgg  0.0008250  216       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f17c.png
ASW0009dgk  0.0281857  102       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b410.png
ASW0009djs  0.1321687  153       http://spacewarps.org/subjects/standard/5183f151e4bb210219007059.png
ASW0009djr  0.0000126  157       http://spacewarps.org/subjects/standard/5183f151e4bb2102190027cc.png
ASW0009diy  0.0447408  163       http://spacewarps.org/subjects/standard/5183f151e4bb210219000378.png
ASW0009dhv  0.2554034  213       http://spacewarps.org/subjects/standard/5183f151e4bb210219003e94.png
ASW0009dht  0.0696699  145       http://spacewarps.org/subjects/standard/5183f151e4bb210219003bda.png
ASW0009djg  0.0000003  205       http://spacewarps.org/subjects/standard/5183f151e4bb210219002e77.png
ASW0009dja  0.0062768  160       http://spacewarps.org/subjects/standard/5183f151e4bb21021900301e.png
ASW0009dj9  0.0104837  155       http://spacewarps.org/subjects/standard/5183f151e4bb2102190030d3.png
ASW0009dj1  0.0624701  173       http://spacewarps.org/subjects/standard/5183f151e4bb2102190007d1.png
ASW0009dgt  0.0595643  217       http://spacewarps.org/subjects/standard/5183f151e4bb21021902500c.png
