# zooid     P          Nclass  image
ASW0001cyr  0.0967201  36       http://spacewarps.org/subjects/standard/5183f151e4bb21021900f7e3.png
ASW0009cnp  0.1206130  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a855.png
ASW0001jqz  0.0446183  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219011a3b.png
ASW0003q83  0.1710535  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902a783.png
ASW0000z1f  0.4534158  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900b163.png
ASW0001ba4  0.0369913  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ef5c.png
ASW00001tq  0.0242596  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021900093e.png
ASW0004w6m  0.1841780  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219037bee.png
ASW0002cy7  0.5735634  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901ae0f.png
ASW0000yln  0.0747301  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021900af2b.png
ASW00058wd  0.0451983  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903bc4d.png
ASW0000hqb  0.0000003  49       http://spacewarps.org/subjects/standard/5183f151e4bb2102190059c3.png
ASW0001nef  0.0000100  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219012cb7.png
ASW0000crt  0.3195895  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190040a9.png
ASW0008pan  0.3444318  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021906320f.png
ASW0001yx2  0.0860859  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219016706.png
ASW0002akl  0.0513341  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a205.png
ASW0002nt8  0.3439191  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e50c.png
ASW000791m  0.0000362  29       http://spacewarps.org/subjects/standard/5183f151e4bb21021905298a.png
ASW0007tll  0.0000001  47       http://spacewarps.org/subjects/standard/5183f151e4bb210219059199.png
ASW0006e9q  0.1798182  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219048dbe.png
ASW0005x7s  0.2447308  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219043768.png
ASW0008yhq  0.0000117  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021906609e.png
ASW0002emv  0.1271381  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b697.png
ASW0001fya  0.0190504  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219010702.png
ASW0007fc6  0.1436540  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219054966.png
ASW0009an9  0.3161401  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219069e25.png
ASW00027kn  0.0000059  42       http://spacewarps.org/subjects/standard/5183f151e4bb2102190192d7.png
ASW0002sbz  0.2852227  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901fbef.png
ASW0002v9m  0.2899569  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219020aca.png
ASW0000f74  0.0456204  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219004cf0.png
ASW0007e57  0.9975842  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021905435b.png
ASW0008pag  0.6246307  43       http://spacewarps.org/subjects/standard/5183f151e4bb210219063208.png
ASW0000by7  0.0632623  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219003c7f.png
ASW0003ny1  0.1212072  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219029bf9.png
ASW00042r0  0.0001139  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902e6ec.png
ASW00024q6  0.3832692  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901846e.png
ASW0000es1  0.0421502  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219004ad1.png
ASW0006wdu  0.3435875  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904e972.png
ASW0007t5y  1.0000000  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219058f66.png
ASW0002aiu  0.0526018  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a1c6.png
ASW0008hsy  0.0559255  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219060c22.png
ASW000191u  0.1570556  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e412.png
ASW0008nld  0.1462356  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219062971.png
ASW00086s8  0.1126662  46       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d458.png
ASW0005nbv  0.1402362  38       http://spacewarps.org/subjects/standard/5183f151e4bb21021904055b.png
ASW00057fl  0.4184897  40       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b4e1.png
ASW00035pu  0.0982730  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219023fb2.png
ASW0001q5a  0.1178482  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219013a9e.png
ASW00012tc  0.0670114  44       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c480.png
ASW0001scq  0.1774650  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190145ca.png
ASW0002n1e  0.0000012  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e122.png
ASW0002res  0.0969370  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f744.png
ASW0009bkm  0.0509714  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a2d6.png
ASW0000t2l  0.0617531  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900932d.png
ASW0009bkk  0.0077736  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a2d4.png
ASW0001p1o  0.3387685  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901350c.png
ASW00009f1  0.0000002  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219002fad.png
ASW0007q0k  0.1174696  35       http://spacewarps.org/subjects/standard/5183f151e4bb210219057f74.png
ASW00069pk  0.3691317  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190476a8.png
ASW0006rgl  0.0000322  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904d085.png
ASW0006hnb  0.2269217  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219049ed7.png
ASW0002d91  0.0000012  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901af95.png
ASW00086sa  0.2520093  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d45a.png
ASW0004nhm  0.2249764  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219034fea.png
ASW000545g  0.0476276  42       http://spacewarps.org/subjects/standard/5183f151e4bb21021903a444.png
