# zooid     P          Nclass  image
ASW0009df4  0.0064550  217       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c2f5.png
ASW0009dfa  0.0000004  233       http://spacewarps.org/subjects/standard/5183f151e4bb210219013307.png
ASW0009dfb  0.0000054  147       http://spacewarps.org/subjects/standard/5183f151e4bb21021901336c.png
ASW0009dfc  0.1283600  224       http://spacewarps.org/subjects/standard/5183f151e4bb210219013101.png
ASW0009dfd  0.0105935  228       http://spacewarps.org/subjects/standard/5183f151e4bb210219012cb7.png
ASW0009dju  0.3901172  216       http://spacewarps.org/subjects/standard/5183f151e4bb21021900705c.png
ASW0009djt  0.0000160  198       http://spacewarps.org/subjects/standard/5183f151e4bb21021900739e.png
ASW0009dgk  0.0315731  102       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b410.png
ASW0009dih  0.0000869  236       http://spacewarps.org/subjects/standard/5183f151e4bb210219005216.png
ASW0009dig  0.0692255  167       http://spacewarps.org/subjects/standard/5183f151e4bb210219005951.png
ASW0009dii  0.0000190  221       http://spacewarps.org/subjects/standard/5183f151e4bb210219001eff.png
ASW0009dev  0.0046213  235       http://spacewarps.org/subjects/standard/5183f151e4bb21021900fb95.png
ASW0009dk4  0.0102491  148       http://spacewarps.org/subjects/standard/5183f151e4bb210219011b99.png
ASW0009di5  0.0342568  155       http://spacewarps.org/subjects/standard/5183f151e4bb210219004de8.png
ASW0009dfh  0.0000124  208       http://spacewarps.org/subjects/standard/5183f151e4bb2102190121b7.png
ASW0009dfj  0.0004840  158       http://spacewarps.org/subjects/standard/5183f151e4bb2102190123aa.png
ASW0009dfk  0.0299690  166       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e035.png
ASW0009dfm  0.0807133  225       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e412.png
ASW0009df0  0.0000808  229       http://spacewarps.org/subjects/standard/5183f151e4bb2102190140bf.png
ASW0009dhh  0.0100745  237       http://spacewarps.org/subjects/standard/5183f151e4bb2102190035d5.png
ASW0009dhj  0.2444576  133       http://spacewarps.org/subjects/standard/5183f151e4bb210219000de4.png
ASW0009dhn  0.2019480  159       http://spacewarps.org/subjects/standard/5183f151e4bb210219000dbf.png
ASW0009dhq  0.0000001  225       http://spacewarps.org/subjects/standard/5183f151e4bb210219000b1b.png
ASW0009dg2  0.0012291  217       http://spacewarps.org/subjects/standard/5183f151e4bb21021900d264.png
ASW0009dgn  0.0809566  244       http://spacewarps.org/subjects/standard/5183f151e4bb21021901833b.png
