# zooid     P          Nclass  image
ASW0007oqe  0.9849628  195       http://spacewarps.org/subjects/standard/5183f151e4bb2102190578f6.png
ASW0005c9m  1.0000000  132       http://spacewarps.org/subjects/standard/5183f151e4bb21021903cd5a.png
ASW00037v4  1.0000000  194       http://spacewarps.org/subjects/standard/5183f151e4bb210219024a90.png
ASW0005sb6  1.0000000  125       http://spacewarps.org/subjects/standard/5183f151e4bb210219041e92.png
ASW0003flo  1.0000000  139       http://spacewarps.org/subjects/standard/5183f151e4bb2102190271bc.png
ASW0002ho5  1.0000000  126       http://spacewarps.org/subjects/standard/5183f151e4bb21021901c5f5.png
ASW0005ofo  1.0000000  112       http://spacewarps.org/subjects/standard/5183f151e4bb210219040af4.png
ASW0001vz7  1.0000000  176       http://spacewarps.org/subjects/standard/5183f151e4bb210219015823.png
ASW00005hl  0.9999999  185       http://spacewarps.org/subjects/standard/5183f151e4bb210219001bc9.png
ASW00018vh  0.1589524  161       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e32d.png
ASW00013yq  1.0000000  193       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ca52.png
ASW0003wbl  1.0000000  184       http://spacewarps.org/subjects/standard/5183f151e4bb21021902c661.png
ASW00094yf  0.7249334  218       http://spacewarps.org/subjects/standard/5183f151e4bb210219068157.png
ASW0008wyp  0.4649031  203       http://spacewarps.org/subjects/standard/5183f151e4bb2102190658e1.png
ASW0006cqj  1.0000000  148       http://spacewarps.org/subjects/standard/5183f151e4bb2102190485fb.png
ASW0007k58  1.0000000  204       http://spacewarps.org/subjects/standard/5183f151e4bb2102190561bc.png
ASW0001dxx  0.7554464  207       http://spacewarps.org/subjects/standard/5183f151e4bb21021900fcd5.png
ASW0001op6  1.0000000  171       http://spacewarps.org/subjects/standard/5183f151e4bb21021901334a.png
ASW00072nt  0.8684661  136       http://spacewarps.org/subjects/standard/5183f151e4bb210219050939.png
ASW0005d3c  1.0000000  128       http://spacewarps.org/subjects/standard/5183f151e4bb21021903d188.png
ASW00028no  1.0000000  128       http://spacewarps.org/subjects/standard/5183f151e4bb210219019854.png
ASW00014o5  1.0000000  113       http://spacewarps.org/subjects/standard/5183f151e4bb21021900cde5.png
ASW0007xbr  0.3383234  215       http://spacewarps.org/subjects/standard/5183f151e4bb21021905a477.png
ASW00092tb  0.5995051  212       http://spacewarps.org/subjects/standard/5183f151e4bb21021906767f.png
ASW00015rl  0.3042605  176       http://spacewarps.org/subjects/standard/5183f151e4bb21021900d371.png
ASW00009rn  1.0000000  117       http://spacewarps.org/subjects/standard/5183f151e4bb210219003173.png
ASW0008wyh  1.0000000  199       http://spacewarps.org/subjects/standard/5183f151e4bb2102190658d9.png
ASW0008wyk  1.0000000  138       http://spacewarps.org/subjects/standard/5183f151e4bb2102190658dc.png
ASW0004izo  1.0000000  116       http://spacewarps.org/subjects/standard/5183f151e4bb210219033924.png
ASW0001lj8  1.0000000  181       http://spacewarps.org/subjects/standard/5183f151e4bb210219012344.png
ASW0003mj2  0.5676033  133       http://spacewarps.org/subjects/standard/5183f151e4bb2102190294ce.png
ASW00067sh  0.7465772  236       http://spacewarps.org/subjects/standard/5183f151e4bb210219046cf1.png
ASW0008551  1.0000000  201       http://spacewarps.org/subjects/standard/5183f151e4bb21021905cc05.png
ASW00008hu  1.0000000  89       http://spacewarps.org/subjects/standard/5183f151e4bb210219002b02.png
ASW0005stq  0.9998775  186       http://spacewarps.org/subjects/standard/5183f151e4bb21021904212e.png
ASW0001qfy  0.0223018  175       http://spacewarps.org/subjects/standard/5183f151e4bb210219013c1e.png
ASW0000lme  0.6888335  197       http://spacewarps.org/subjects/standard/5183f151e4bb210219006d76.png
ASW0001rjb  0.4727798  185       http://spacewarps.org/subjects/standard/5183f151e4bb2102190141a7.png
ASW0008tc1  0.5575877  190       http://spacewarps.org/subjects/standard/5183f151e4bb210219064681.png
ASW00020lh  0.6443595  199       http://spacewarps.org/subjects/standard/5183f151e4bb210219016f85.png
ASW00092k7  1.0000000  164       http://spacewarps.org/subjects/standard/5183f151e4bb210219067537.png
ASW0001ian  1.0000000  127       http://spacewarps.org/subjects/standard/5183f151e4bb2102190112df.png
ASW0000y8p  0.9689236  185       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ad59.png
ASW0002770  1.0000000  127       http://spacewarps.org/subjects/standard/5183f151e4bb2102190190ec.png
ASW00019fm  1.0000000  181       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e602.png
ASW0000jbc  0.6430795  187       http://spacewarps.org/subjects/standard/5183f151e4bb2102190061c8.png
ASW0008tlt  0.9786261  114       http://spacewarps.org/subjects/standard/5183f151e4bb2102190647e1.png
ASW0007l6x  1.0000000  134       http://spacewarps.org/subjects/standard/5183f151e4bb210219056709.png
ASW00016ef  1.0000000  123       http://spacewarps.org/subjects/standard/5183f151e4bb21021900d6a7.png
ASW0000mmm  0.5264271  120       http://spacewarps.org/subjects/standard/5183f151e4bb21021900728e.png
ASW0001ud8  0.9894191  118       http://spacewarps.org/subjects/standard/5183f151e4bb210219014ffc.png
ASW00024dv  1.0000000  183       http://spacewarps.org/subjects/standard/5183f151e4bb2102190182b3.png
ASW0008xuy  0.1704530  130       http://spacewarps.org/subjects/standard/5183f151e4bb210219065d6a.png
ASW0005ase  1.0000000  129       http://spacewarps.org/subjects/standard/5183f151e4bb21021903c5de.png
ASW00045mv  0.0000463  186       http://spacewarps.org/subjects/standard/5183f151e4bb21021902f587.png
ASW00056ma  0.9999510  128       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b0c2.png
ASW00046c3  0.6676855  96       http://spacewarps.org/subjects/standard/5183f151e4bb21021902f913.png
ASW00028lj  1.0000000  183       http://spacewarps.org/subjects/standard/5183f151e4bb210219019807.png
ASW0007typ  0.4829026  134       http://spacewarps.org/subjects/standard/5183f151e4bb210219059371.png
ASW00060ok  0.8931628  178       http://spacewarps.org/subjects/standard/5183f151e4bb2102190448f4.png
ASW0005to7  1.0000000  134       http://spacewarps.org/subjects/standard/5183f151e4bb210219042577.png
ASW0002mti  0.7130715  204       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e006.png
ASW0001ua4  0.9302671  120       http://spacewarps.org/subjects/standard/5183f151e4bb210219014f8c.png
ASW0008svj  1.0000000  148       http://spacewarps.org/subjects/standard/5183f151e4bb21021906442f.png
ASW0006kb2  0.9875347  196       http://spacewarps.org/subjects/standard/5183f151e4bb21021904ac4e.png
ASW0004fmt  0.8670666  160       http://spacewarps.org/subjects/standard/5183f151e4bb210219032825.png
ASW0007oeq  1.0000000  144       http://spacewarps.org/subjects/standard/5183f151e4bb210219057752.png
ASW0000bsh  0.6169965  1213       http://spacewarps.org/subjects/standard/5183f151e4bb210219003bb1.png
ASW0005mht  0.9700378  145       http://spacewarps.org/subjects/standard/5183f151e4bb210219040121.png
ASW000747m  0.0283377  138       http://spacewarps.org/subjects/standard/5183f151e4bb210219051112.png
ASW0007hx4  1.0000000  132       http://spacewarps.org/subjects/standard/5183f151e4bb210219055678.png
