# filename                           category    grade
CFHTLS_001_12102_1549_o_gri.png      GROUP       A
CFHTLS_001_7185_8666_o_gri.png       GROUP       B
CFHTLS_002_4206_11323_o_gri.png      GROUP       A
CFHTLS_003_15986_2174_o_gri.png      GROUP       B
CFHTLS_004_6537_16500_o_gri.png      GROUP       A
CFHTLS_004_7946_1535_o_gri.png       GALAXY      B
CFHTLS_005_9860_17762_o_gri.png      GALAXY      A
CFHTLS_009_16618_2648_o_gri.png      GALAXY      A
CFHTLS_009_17320_16110_o_gri.png     GROUP       A
CFHTLS_010_1248_13259_o_gri.png      GROUP       A
CFHTLS_013_1296_1620_o_gri.png       GROUP       A
CFHTLS_013_8267_10637_o_gri.png      GALAXY      A
CFHTLS_018_5861_1859_o_gri.png       GALAXY      B
CFHTLS_020_1212_9843_o_gri.png       GALAXY      B
CFHTLS_021_13782_15100_o_gri.png     GROUP       A
CFHTLS_021_17599_9200_o_gri.png      GALAXY      A
CFHTLS_021_18275_5081_o_gri.png      GALAXY      A
CFHTLS_023_9196_16550_o_gri.png      GALAXY      B
CFHTLS_024_11520_15176_o_gri.png     GALAXY      B
CFHTLS_024_5021_4681_o_gri.png       GROUP       A
CFHTLS_024_7182_15845_o_gri.png      GALAXY      A
CFHTLS_026_18405_12660_o_gri.png     GALAXY      B
CFHTLS_026_582_13829_o_gri.png       GROUP       B
CFHTLS_028_13335_13576_o_gri.png     GALAXY      A
CFHTLS_028_3862_16000_o_gri.png      GROUP       A
CFHTLS_029_1513_2892_o_gri.png       GALAXY      B
CFHTLS_030_16291_12297_o_gri.png     GALAXY      A
CFHTLS_031_9855_793_o_gri.png        GROUP       A
CFHTLS_032_9603_11920_o_gri.png      GALAXY      A
CFHTLS_033_11298_13118_o_gri.png     GALAXY      B
CFHTLS_034_12553_696_o_gri.png       GROUP       B
CFHTLS_034_17300_6559_o_gri.png      GROUP       B
CFHTLS_034_8534_3858_o_gri.png       GALAXY      B
CFHTLS_035_15500_1197_o_gri.png      GALAXY      A
CFHTLS_035_4720_16908_o_gri.png      GALAXY      A
CFHTLS_036_16778_17431_o_gri.png     GALAXY      A
CFHTLS_036_9576_7486_o_gri.png       GALAXY      A
CFHTLS_037_15339_8580_o_gri.png      GROUP       A
CFHTLS_039_11510_7906_o_gri.png      GALAXY      A
CFHTLS_039_9091_7225_o_gri.png       GROUP       A
CFHTLS_040_4057_12991_o_gri.png      GROUP       B
CFHTLS_041_14952_7005_o_gri.png      GALAXY      A
CFHTLS_041_2661_4896_o_gri.png       GROUP       A
CFHTLS_042_14735_9202_o_gri.png      GALAXY      A
CFHTLS_044_13935_13806_o_gri.png     GALAXY      A
CFHTLS_045_13932_16266_o_gri.png     GALAXY      B
CFHTLS_045_9559_13695_o_gri.png      GALAXY      A
CFHTLS_046_2810_1576_o_gri.png       GALAXY      A
CFHTLS_047_18772_3226_o_gri.png      GALAXY      A
CFHTLS_051_4171_5689_o_gri.png       GALAXY      B
CFHTLS_052_1623_11822_o_gri.png      GALAXY      B
CFHTLS_052_9141_15599_o_gri.png      GROUP       A
CFHTLS_053_17802_12347_o_gri.png     GALAXY      B
CFHTLS_055_11957_14013_o_gri.png     GALAXY      A
CFHTLS_055_18769_1187_o_gri.png      GALAXY      B
CFHTLS_056_17604_17924_o_gri.png     GALAXY      A
CFHTLS_056_4130_11556_o_gri.png      GALAXY      A
CFHTLS_056_7164_7034_o_gri.png       GALAXY      A
CFHTLS_058_14213_9108_o_gri.png      GROUP       A
CFHTLS_059_16838_4674_o_gri.png      GALAXY      B
CFHTLS_062_10622_12873_o_gri.png     GALAXY      A
CFHTLS_062_1870_12553_o_gri.png      GALAXY      B
CFHTLS_064_3978_16622_o_gri.png      GALAXY      B
CFHTLS_066_1515_6270_o_gri.png       GROUP       A
CFHTLS_067_14066_10115_o_gri.png     GALAXY      B
CFHTLS_072_10626_1084_o_gri.png      GALAXY      A
CFHTLS_072_11872_10839_o_gri.png     GALAXY      B
CFHTLS_074_12663_3588_o_gri.png      GALAXY      A
CFHTLS_074_14652_10500_o_gri.png     GALAXY      B
CFHTLS_074_16447_17397_o_gri.png     GALAXY      A
CFHTLS_074_18341_12173_o_gri.png     GROUP       B
CFHTLS_074_9057_18652_o_gri.png      GALAXY      A
CFHTLS_075_10613_18479_o_gri.png     GALAXY      B
CFHTLS_077_9971_10681_o_gri.png      GALAXY      B
CFHTLS_079_18657_12748_o_gri.png     GALAXY      A
CFHTLS_080_18757_1845_o_gri.png      GROUP       A
CFHTLS_080_7653_11004_o_gri.png      GROUP       A
CFHTLS_081_12277_4918_o_gri.png      GALAXY      A
CFHTLS_082_1607_3061_o_gri.png       GALAXY      B
CFHTLS_082_5924_11413_o_gri.png      GROUP       A
CFHTLS_084_18421_11515_o_gri.png     GALAXY      A
CFHTLS_085_2763_1208_o_gri.png       GROUP       A
